model,protocol,split,train_batches,validation_batches,validation_batch,n_train,n_validation,macro_f1,accuracy,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
xgboost_depth6,random_stratified,random_fold_2,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9956037290736642,0.9961202715809894,0.9948979591836735,0.9989235737351991,0.9903381642512077,0.9925650557620818,0.9968976215098242,1.0
xgboost_depth6,random_stratified,random_fold_3,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9959078556956737,0.9961202715809894,0.9961783439490446,0.9978540772532188,0.9903381642512077,0.996268656716418,0.9948078920041536,1.0
xgboost_depth6,random_stratified,random_fold_4,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9930778155188661,0.9936954413191077,0.9936628643852978,0.9957081545064378,0.9927710843373494,0.9905838041431262,0.9958419958419958,0.98989898989899
xgboost_depth6,random_stratified,random_fold_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9917184072879542,0.9922405431619786,0.9936143039591315,0.9957173447537473,0.9878934624697336,0.9924528301886792,0.9906928645294726,0.9899396378269618
xgboost_depth6,expanding_window,temporal_batch_2,"(np.int64(1),)","(np.int64(2),)",2.0,445,1244,0.57215174531351,0.7982315112540193,0.5441176470588235,0.9243697478991597,0.4875,0.0,0.9769230769230769,0.5
xgboost_depth6,expanding_window,temporal_batch_3,"(np.int64(1), np.int64(2))","(np.int64(3),)",3.0,1689,1586,0.9301213341693847,0.937578814627995,0.9168765743073047,0.9829488465396189,0.9142857142857143,0.9107142857142857,0.92578125,
xgboost_depth6,expanding_window,temporal_batch_4,"(np.int64(1), np.int64(2), np.int64(3))","(np.int64(4),)",4.0,3275,161,0.6714107616035413,0.6708074534161491,0.6017699115044248,0.9885057471264368,0.9565217391304348,0.41025641025641024,0.4,
xgboost_depth6,expanding_window,temporal_batch_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4))","(np.int64(5),)",5.0,3436,197,0.9381971123906607,0.9441624365482234,0.9032258064516129,1.0,0.918918918918919,0.9010989010989011,0.967741935483871,
xgboost_depth6,expanding_window,temporal_batch_6,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5))","(np.int64(6),)",6.0,3633,2300,0.5836388663961584,0.6330434782608696,0.6658959537572254,0.8993288590604027,0.9140271493212669,0.07187112763320942,0.9507101086048454,0.0
xgboost_depth6,expanding_window,temporal_batch_7,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6))","(np.int64(7),)",7.0,5933,3613,0.6836218665392152,0.7254359258234154,0.8794037940379403,0.8361508452535761,0.5701254275940707,0.2994535519125683,0.8492224475997295,0.667375132837407
xgboost_depth6,expanding_window,temporal_batch_8,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7))","(np.int64(8),)",8.0,9546,294,0.6933764351745056,0.8129251700680272,0.9836065573770492,0.06451612903225806,0.7032967032967034,0.88,0.8972602739726028,0.631578947368421
xgboost_depth6,expanding_window,temporal_batch_9,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8))","(np.int64(9),)",9.0,9840,470,0.7588262330803098,0.7617021276595745,0.8411214953271028,0.9908256880733946,1.0,0.5867768595041323,0.968944099378882,0.1652892561983471
