model,protocol,split,train_batches,validation_batches,validation_batch,n_train,n_validation,macro_f1,accuracy,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
logreg_C1,expanding_window,temporal_batch_4,"(np.int64(1), np.int64(2), np.int64(3))","(np.int64(4),)",4.0,3275,161,0.7711607633558852,0.7515527950310559,0.6909090909090909,0.9512195121951219,1.0,0.7692307692307693,0.4444444444444444,
logreg_C1,expanding_window,temporal_batch_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4))","(np.int64(5),)",5.0,3436,197,0.9801114100387445,0.9796954314720813,0.9824561403508771,1.0,0.9743589743589743,0.967741935483871,0.976,
logreg_C1,expanding_window,temporal_batch_6,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5))","(np.int64(6),)",6.0,3633,2300,0.6553781421478014,0.7739130434782608,0.9465791940018744,0.9920983318700615,0.9140271493212669,0.11530815109343936,0.9642560266001663,0.0
logreg_C1,expanding_window,temporal_batch_7,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6))","(np.int64(7),)",7.0,5933,3613,0.8263977468379266,0.8333794630500969,0.9855732725892179,0.7452085682074409,0.8099606815203145,0.4908722109533469,0.9699306090979183,0.9568411386593205
logreg_C1,expanding_window,temporal_batch_8,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7))","(np.int64(8),)",8.0,9546,294,0.8837294044575947,0.9149659863945578,0.9090909090909091,0.9473684210526315,0.7714285714285715,0.9428571428571428,0.958904109589041,0.7727272727272727
logreg_C1,expanding_window,temporal_batch_9,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8))","(np.int64(9),)",9.0,9840,470,0.7561344053289173,0.7702127659574468,0.9836065573770492,1.0,0.9852216748768473,0.5816733067729084,0.9668874172185431,0.019417475728155338
logreg_C10,random_stratified,random_fold_1,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9906445607700102,0.991270611057226,0.9923857868020305,0.9956989247311828,0.9779951100244498,0.996268656716418,0.9876288659793815,0.9938900203665988
logreg_C10,random_stratified,random_fold_2,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9926799041078594,0.9936954413191077,0.9949109414758269,0.9978448275862069,0.9879518072289156,0.9906542056074766,0.9948186528497409,0.98989898989899
logreg_C10,random_stratified,random_fold_3,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9932229685689116,0.9936954413191077,0.9961783439490446,0.9956989247311828,0.9806763285024155,0.9981308411214953,0.9906735751295337,0.997979797979798
logreg_C10,random_stratified,random_fold_4,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9933368591068886,0.9936954413191077,0.9936305732484076,0.9946409431939979,0.9830508474576272,1.0,0.9927310488058152,0.9959677419354839
logreg_C10,random_stratified,random_fold_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9870272846581911,0.9888457807953444,0.9961783439490446,0.9956989247311828,0.9686746987951808,0.9810606060606061,0.9866117404737385,0.9939393939393939
logreg_C10,expanding_window,temporal_batch_2,"(np.int64(1),)","(np.int64(2),)",2.0,445,1244,0.668880813033271,0.844855305466238,0.6581740976645435,0.9580093312597201,0.8695652173913043,0.0,0.9719806763285024,0.5555555555555556
logreg_C10,expanding_window,temporal_batch_3,"(np.int64(1), np.int64(2))","(np.int64(3),)",3.0,1689,1586,0.9821892003147552,0.9817150063051703,0.9744279946164199,0.9897959183673469,0.9862385321100917,0.9808917197452229,0.9795918367346939,
logreg_C10,expanding_window,temporal_batch_4,"(np.int64(1), np.int64(2), np.int64(3))","(np.int64(4),)",4.0,3275,161,0.7567667237007629,0.7329192546583851,0.6981132075471698,0.926829268292683,1.0,0.7450980392156863,0.41379310344827586,
logreg_C10,expanding_window,temporal_batch_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4))","(np.int64(5),)",5.0,3436,197,0.9801114100387445,0.9796954314720813,0.9824561403508771,1.0,0.9743589743589743,0.967741935483871,0.976,
logreg_C10,expanding_window,temporal_batch_6,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5))","(np.int64(6),)",6.0,3633,2300,0.6860672764031358,0.7973913043478261,0.9865125240847784,0.9894736842105263,0.9351851851851852,0.15743440233236153,0.8656273199703044,0.1821705426356589
logreg_C10,expanding_window,temporal_batch_7,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6))","(np.int64(7),)",7.0,5933,3613,0.8324780844440994,0.8436202601716025,0.9781461944235117,0.811042944785276,0.7158836689038032,0.5681601525262154,0.9873015873015873,0.9343339587242027
logreg_C10,expanding_window,temporal_batch_8,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7))","(np.int64(8),)",8.0,9546,294,0.8468614154060163,0.8843537414965986,0.8518518518518519,0.9090909090909091,0.7323943661971831,0.8450704225352113,0.9427609427609428,0.8
logreg_C10,expanding_window,temporal_batch_9,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8))","(np.int64(9),)",9.0,9840,470,0.7473433035174905,0.7595744680851064,0.9401709401709402,1.0,0.9852216748768473,0.5725490196078431,0.9668874172185431,0.019230769230769232
